"CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited","has4Prod","has3Prod","hasManyProd","ageAtStartOfTenure","depositRate","savingsToSalaryRatio","salaryToAgeSq","ageGroup","salaryQuartile"
619,"France","Female",42,2,0,"1","1","1",101348.88,"1",FALSE,FALSE,FALSE,40,0,0,57.4540136054422,"41-45","3Q"
608,"Spain","Female",41,1,83807.86,"1","0","1",112542.58,"0",FALSE,FALSE,FALSE,40,41903.93,0.372338451810861,66.9497798929209,"41-45","3Q"
502,"France","Female",42,8,159660.8,"3","1","0",113931.57,"1",FALSE,TRUE,TRUE,34,17740.0888888889,0.155708280759134,64.5870578231293,"41-45","3Q"
699,"France","Female",39,1,0,"2","0","0",93826.63,"0",FALSE,FALSE,FALSE,38,0,0,61.6874621959237,"36-40","2Q"
850,"Spain","Female",43,2,125510.82,"1","1","1",79084.1,"0",FALSE,FALSE,FALSE,41,41836.94,0.529018348821065,42.7712817739319,"41-45","2Q"
645,"Spain","Male",44,8,113755.78,"2","1","0",149756.71,"1",FALSE,FALSE,FALSE,36,12639.5311111111,0.084400432615748,77.3536725206611,"41-45","4Q"
822,"France","Male",50,7,0,"2","1","1",10062.8,"0",FALSE,FALSE,FALSE,43,0,0,4.02512,"46-50","1Q"
376,"Germany","Female",29,4,115046.74,"4","1","0",119346.88,"1",TRUE,FALSE,TRUE,25,23009.348,0.192793879488094,141.910677764566,"26-30","3Q"
501,"France","Male",44,4,142051.07,"2","0","1",74940.5,"0",FALSE,FALSE,FALSE,40,28410.214,0.379103608863031,38.7089359504132,"41-45","2Q"
684,"France","Male",27,2,134603.88,"1","1","1",71725.73,"0",FALSE,FALSE,FALSE,25,44867.96,0.625549018462412,98.3892043895748,"26-30","2Q"
528,"France","Male",31,6,102016.72,"2","0","0",80181.12,"0",FALSE,FALSE,FALSE,25,14573.8171428571,0.181761206913263,83.4350884495317,"31-35","2Q"
497,"Spain","Male",24,3,0,"2","1","0",76390.01,"0",FALSE,FALSE,FALSE,21,0,0,132.621545138889,"<25","2Q"
476,"France","Female",34,10,0,"2","1","0",26260.98,"0",FALSE,FALSE,FALSE,24,0,0,22.7171107266436,"31-35","1Q"
549,"France","Female",25,5,0,"2","0","0",190857.79,"0",FALSE,FALSE,FALSE,20,0,0,305.372464,"<25","4Q"
635,"Spain","Female",35,7,0,"2","1","1",65951.65,"0",FALSE,FALSE,FALSE,28,0,0,53.8380816326531,"31-35","2Q"
616,"Germany","Male",45,3,143129.41,"2","0","1",64327.26,"0",FALSE,FALSE,FALSE,42,35782.3525,0.556254883233018,31.7665481481481,"41-45","2Q"
653,"Germany","Male",58,1,132602.88,"1","1","0",5097.67,"1",FALSE,FALSE,FALSE,57,66301.44,13.0062244123296,1.51535969084423,"56-60","1Q"
549,"Spain","Female",24,9,0,"2","1","1",14406.41,"0",FALSE,FALSE,FALSE,15,0,0,25.0111284722222,"<25","1Q"
587,"Spain","Male",45,6,0,"1","0","0",158684.81,"0",FALSE,FALSE,FALSE,39,0,0,78.3628691358025,"41-45","4Q"
726,"France","Female",24,6,0,"2","1","1",54724.03,"0",FALSE,FALSE,FALSE,18,0,0,95.0069965277778,"<25","2Q"
732,"France","Male",41,8,0,"2","1","1",170886.17,"0",FALSE,FALSE,FALSE,33,0,0,101.65744794765,"41-45","4Q"
636,"Spain","Female",32,8,0,"2","1","0",138555.46,"0",FALSE,FALSE,FALSE,24,0,0,135.30806640625,"31-35","3Q"
510,"Spain","Female",38,4,0,"1","1","0",118913.53,"1",FALSE,FALSE,FALSE,34,0,0,82.3500900277008,"36-40","3Q"
669,"France","Male",46,3,0,"2","0","1",8487.75,"0",FALSE,FALSE,FALSE,43,0,0,4.01122400756144,"46-50","1Q"
846,"France","Female",38,5,0,"1","1","1",187616.16,"0",FALSE,FALSE,FALSE,33,0,0,129.928088642659,"36-40","4Q"
577,"France","Male",25,3,0,"2","0","1",124508.29,"0",FALSE,FALSE,FALSE,22,0,0,199.213264,"<25","3Q"
756,"Germany","Male",36,2,136815.64,"1","1","1",170041.95,"0",FALSE,FALSE,FALSE,34,45605.2133333333,0.268199778544843,131.205208333333,"36-40","4Q"
571,"France","Male",44,9,0,"2","0","0",38433.35,"0",FALSE,FALSE,FALSE,35,0,0,19.8519369834711,"41-45","1Q"
574,"Germany","Female",43,3,141349.43,"1","1","1",100187.43,"0",FALSE,FALSE,FALSE,40,35337.3575,0.352712485987514,54.1846565711195,"41-45","2Q"
411,"France","Male",29,0,59697.17,"2","1","1",53483.21,"0",FALSE,FALSE,FALSE,29,59697.17,1.11618524766932,63.5947800237812,"26-30","2Q"
591,"Spain","Female",39,3,0,"3","1","0",140469.38,"1",FALSE,TRUE,TRUE,36,0,0,92.3533070348455,"36-40","3Q"
533,"France","Male",36,7,85311.7,"1","0","1",156731.91,"0",FALSE,FALSE,FALSE,29,10663.9625,0.0680395109075108,120.935115740741,"36-40","4Q"
553,"Germany","Male",41,9,110112.54,"2","0","0",81898.81,"0",FALSE,FALSE,FALSE,32,11011.254,0.13444949932728,48.7202914931588,"41-45","2Q"
520,"Spain","Female",42,6,0,"2","1","1",34410.55,"0",FALSE,FALSE,FALSE,36,0,0,19.5071145124717,"41-45","1Q"
722,"Spain","Female",29,9,0,"2","1","1",142033.07,"0",FALSE,FALSE,FALSE,20,0,0,168.885933412604,"26-30","3Q"
475,"France","Female",45,0,134264.04,"1","1","0",27822.99,"1",FALSE,FALSE,FALSE,45,134264.04,4.82565101737807,13.7397481481481,"41-45","1Q"
490,"Spain","Male",31,3,145260.23,"1","0","1",114066.77,"0",FALSE,FALSE,FALSE,28,36315.0575,0.318366668048898,118.695910509886,"31-35","3Q"
804,"Spain","Male",33,7,76548.6,"1","0","1",98453.45,"0",FALSE,FALSE,FALSE,26,9568.575,0.0971888237537639,90.4072084481175,"31-35","2Q"
850,"France","Male",36,7,0,"1","1","1",40812.9,"0",FALSE,FALSE,FALSE,29,0,0,31.4914351851852,"36-40","1Q"
582,"Germany","Male",41,6,70349.48,"2","0","1",178074.04,"0",FALSE,FALSE,FALSE,35,10049.9257142857,0.056436781657145,105.933396787626,"41-45","4Q"
472,"Spain","Male",40,4,0,"1","1","0",70154.22,"0",FALSE,FALSE,FALSE,36,0,0,43.8463875,"36-40","2Q"
465,"France","Female",51,8,122522.32,"1","0","0",181297.65,"1",FALSE,FALSE,FALSE,43,13613.5911111111,0.0750897273688386,69.7030565167243,"51-55","4Q"
556,"France","Female",61,2,117419.35,"1","1","1",94153.83,"0",FALSE,FALSE,FALSE,59,39139.7833333333,0.415700384501972,25.3033673743617,"61-65","2Q"
834,"France","Female",49,2,131394.56,"1","0","0",194365.76,"1",FALSE,FALSE,FALSE,47,43798.1866666667,0.225339003467826,80.952003331945,"46-50","4Q"
660,"Spain","Female",61,5,155931.11,"1","1","1",158338.39,"0",FALSE,FALSE,FALSE,56,25988.5183333333,0.164132768643999,42.5526444504166,"61-65","4Q"
776,"Germany","Female",32,4,109421.13,"2","1","1",126517.46,"0",FALSE,FALSE,FALSE,28,21884.226,0.172973959483537,123.55220703125,"31-35","3Q"
829,"Germany","Female",27,9,112045.67,"1","1","1",119708.21,"1",FALSE,FALSE,FALSE,18,11204.567,0.0935989853995812,164.208792866941,"26-30","3Q"
637,"Germany","Female",39,9,137843.8,"1","1","1",117622.8,"1",FALSE,FALSE,FALSE,30,13784.38,0.117191394865621,77.3325443786982,"36-40","3Q"
550,"Germany","Male",38,2,103391.38,"1","0","1",90878.13,"0",FALSE,FALSE,FALSE,36,34463.7933333333,0.37923088132792,62.9349930747922,"36-40","2Q"
776,"Germany","Female",37,2,103769.22,"2","1","0",194099.12,"0",FALSE,FALSE,FALSE,35,34589.74,0.178206578164806,141.781680058437,"36-40","4Q"
698,"Germany","Male",44,10,116363.37,"2","1","0",198059.16,"0",FALSE,FALSE,FALSE,34,10578.4881818182,0.0534107495044318,102.303285123967,"41-45","4Q"
585,"Germany","Male",36,5,146050.97,"2","0","0",86424.57,"0",FALSE,FALSE,FALSE,31,24341.8283333333,0.281654028863937,66.685625,"36-40","2Q"
788,"France","Female",33,5,0,"2","0","0",116978.19,"0",FALSE,FALSE,FALSE,28,0,0,107.417988980716,"31-35","3Q"
655,"Germany","Male",41,8,125561.97,"1","0","0",164040.94,"1",FALSE,FALSE,FALSE,33,13951.33,0.0850478545172931,97.5853301606187,"41-45","4Q"
601,"Germany","Male",42,1,98495.72,"1","1","0",40014.76,"1",FALSE,FALSE,FALSE,41,49247.86,1.23074235607061,22.68410430839,"41-45","1Q"
619,"France","Male",43,1,125211.92,"1","1","1",113410.49,"0",FALSE,FALSE,FALSE,42,62605.96,0.552029710831864,61.3361222282315,"41-45","3Q"
656,"France","Male",45,5,127864.4,"1","1","0",87107.57,"0",FALSE,FALSE,FALSE,40,21310.7333333333,0.244648465493106,43.0160839506173,"41-45","2Q"
725,"Germany","Male",19,0,75888.2,"1","0","0",45613.75,"0",FALSE,FALSE,FALSE,19,75888.2,1.66371324436162,126.353878116343,"<25","1Q"
511,"Spain","Female",66,4,0,"1","1","0",1643.11,"1",FALSE,FALSE,FALSE,62,0,0,0.377206152433425,"66-70","1Q"
614,"France","Male",51,4,40685.92,"1","1","1",46775.28,"0",FALSE,FALSE,FALSE,47,8137.184,0.173963341320458,17.9835755478662,"51-55","1Q"
742,"Germany","Male",35,5,136857,"1","0","0",84509.57,"0",FALSE,FALSE,FALSE,30,22809.5,0.269904343377916,68.9874040816327,"31-35","2Q"
687,"Germany","Female",27,9,152328.88,"2","0","0",126494.82,"0",FALSE,FALSE,FALSE,18,15232.888,0.12042301811252,173.518271604938,"26-30","3Q"
555,"Spain","Male",33,1,56084.69,"2","0","0",178798.13,"0",FALSE,FALSE,FALSE,32,28042.345,0.156838021739937,164.185610651974,"31-35","4Q"
684,"Spain","Male",56,8,78707.16,"1","1","1",99398.36,"0",FALSE,FALSE,FALSE,48,8745.24,0.0879817333002275,31.6959056122449,"56-60","2Q"
603,"Germany","Male",26,4,109166.37,"1","1","1",92840.67,"0",FALSE,FALSE,FALSE,22,21833.274,0.235169285185038,137.338269230769,"26-30","2Q"
